10
r1;1;2;3;4;5;6;7;8;9;10
r2;1;2;3;4;5;6;7;8;9;10
r3;1;2;3;4;5;6;7;8;9;10
r4;1;2;3;4;5;6;7;8;9;10
r5;1;2;3;4;5;6;7;8;9;10
r6;1;2;3;4;5;6;7;8;9;10
r7;1;2;3;4;5;6;7;8;9;10
r8;1;2;3;4;5;6;7;8;9;10
r9;1;2;3;4;5;6;7;8;9;10
r10;1;2;3;4;5;6;7;8;9;10
45
ext
r1;r2
72
3;1
1;3
4;1
1;4
5;1
1;5
6;1
1;6
7;1
1;7
8;1
1;8
9;1
1;9
10;1
1;10
4;2
2;4
5;2
2;5
6;2
2;6
7;2
2;7
8;2
2;8
9;2
2;9
10;2
2;10
5;3
3;5
6;3
3;6
7;3
3;7
8;3
3;8
9;3
3;9
10;3
3;10
6;4
4;6
7;4
4;7
8;4
4;8
9;4
4;9
10;4
4;10
7;5
5;7
8;5
5;8
9;5
5;9
10;5
5;10
8;6
6;8
9;6
6;9
10;6
6;10
9;7
7;9
10;7
7;10
10;8
8;10
ext
r1;r3
74
2;1
1;2
4;1
1;4
5;1
1;5
6;1
1;6
7;1
1;7
8;1
1;8
9;1
1;9
10;1
1;10
3;2
2;3
5;2
2;5
6;2
2;6
7;2
2;7
8;2
2;8
9;2
2;9
10;2
2;10
4;3
3;4
6;3
3;6
7;3
3;7
8;3
3;8
9;3
3;9
10;3
3;10
5;4
4;5
7;4
4;7
8;4
4;8
9;4
4;9
10;4
4;10
6;5
5;6
8;5
5;8
9;5
5;9
10;5
5;10
7;6
6;7
9;6
6;9
10;6
6;10
8;7
7;8
10;7
7;10
9;8
8;9
10;9
9;10
ext
r1;r4
76
2;1
1;2
3;1
1;3
5;1
1;5
6;1
1;6
7;1
1;7
8;1
1;8
9;1
1;9
10;1
1;10
3;2
2;3
4;2
2;4
6;2
2;6
7;2
2;7
8;2
2;8
9;2
2;9
10;2
2;10
4;3
3;4
5;3
3;5
7;3
3;7
8;3
3;8
9;3
3;9
10;3
3;10
5;4
4;5
6;4
4;6
8;4
4;8
9;4
4;9
10;4
4;10
6;5
5;6
7;5
5;7
9;5
5;9
