20
r1;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
r2;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
r3;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
r4;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
r5;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
r6;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
r7;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
r8;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
r9;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
r10;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
r11;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
r12;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
r13;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
r14;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
r15;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
r16;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
r17;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
r18;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
r19;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
r20;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
190
ext
r1;r2
342
3;1
1;3
4;1
1;4
5;1
1;5
6;1
1;6
7;1
1;7
8;1
1;8
9;1
1;9
10;1
1;10
11;1
1;11
12;1
1;12
13;1
1;13
14;1
1;14
15;1
1;15
16;1
1;16
17;1
1;17
18;1
1;18
19;1
1;19
20;1
1;20
4;2
2;4
5;2
2;5
6;2
2;6
7;2
2;7
8;2
2;8
9;2
2;9
10;2
2;10
11;2
2;11
12;2
2;12
13;2
2;13
14;2
2;14
15;2
2;15
16;2
2;16
17;2
2;17
18;2
2;18
19;2
2;19
20;2
2;20
5;3
3;5
6;3
3;6
7;3
3;7
8;3
3;8
9;3
3;9
10;3
3;10
11;3
3;11
12;3
3;12
13;3
3;13
14;3
3;14
15;3
3;15
16;3
3;16
17;3
3;17
18;3
3;18
19;3
3;19
20;3
3;20
6;4
4;6
7;4
4;7
8;4
4;8
9;4
4;9
10;4
4;10
11;4
4;11
12;4
4;12
13;4
4;13
14;4
4;14
15;4
4;15
16;4
4;16
17;4
4;17
18;4
4;18
19;4
4;19
20;4
4;20
7;5
5;7
8;5
5;8
9;5
5;9
10;5
5;10
11;5
5;11
12;5
5;12
13;5
5;13
14;5
5;14
15;5
5;15
16;5
5;16
17;5
5;17
18;5
5;18
19;5
5;19
20;5
5;20
8;6
6;8
9;6
6;9
10;6
6;10
11;6
6;11
12;6
6;12
13;6
6;13
14;6
6;14
15;6
6;15
16;6
6;16
17;6
6;17
18;6
6;18
19;6
6;19
20;6
6;20
9;7
7;9
10;7
7;10
11;7
7;11
12;7
7;12
13;7
7;13
14;7
7;14
15;7
7;15
16;7
7;16
17;7
7;17
18;7
7;18
19;7
7;19
20;7
7;20
10;8
8;10
11;8
8;11
12;8
8;12
13;8
